,ts,title
0,20070101,"Apple posts options expenses, stands by CEO Jobs. Apple posts options expenses, stands by CEO Jobs"
1,20070102,Apple options probe spotlights ex-officials: paper. Apple options probe spotlights ex-officials: paper
2,20070103,
3,20070104,
4,20070105,
5,20070106,
6,20070107,
7,20070108,UPDATE 1-RESEARCH ALERT-JP Morgan raises Apple Q1 share view
8,20070109,"High-end wireless vulnerable to Apple iPhone. High-end wireless vulnerable to Apple iPhone. High-end wireless vulnerable to Apple iPhone. Investors dump RIM as Apple launches iPhone. Nasdaq climbs with Apple. Apple introduces svelte multimedia iPhone. Apple unveils iPhone. US STOCKS-Tech shares rise as Apple unveils mobile phone. US STOCKS-Indexes cut losses; Apple rises. Apple to drop ""Computer"" from company name. Apple says iPhone models to cost $499 and $599. Cisco expects Apple agreement on iPhone trademark. Apple rolls out much-anticipated iPhone. Apple unveils iPhone. Apple shares up after Jobs introduces mobile phone. US STOCKS-Lower oil helps retailers; Apple climbs. Apple shares up before product show. Cingular seen providing service for Apple phone: report. Tech Update: Apple talks iPhone"
9,20070110,"Cisco sues Apple over iPhone name. UPDATE 3-Cisco sues Apple over iPhone name. Cisco sues Apple for iPhone trademark infringement. UPDATE 1-Cisco sues Apple for iPhone trademark infringement. Apple slips after Cisco suit announced. Apple iPhone launch sparks Beatles digital hopes. ADR Report-Crude drags energy; Apple hits telecoms. Apple iPhone hits handset makers' shares. CORRECTED: Apple says Intel to supply iPhone CPU story withdrawn. Apple shares hit high on iPhone. Apple introduces svelte multimedia iPhone. Intel to supply Apple TV chip, but not iPhone chip. UPDATE 1-RESEARCH ALERT-Deutsche Bank raises Apple price target. UPDATE 1-RESEARCH ALERT-Citigroup raises Apple Inc price target. Apple hits high as price targets raised. Apple says Intel to supply iPhone CPU. Nokia opens 1.1 pct down after Apple introduces iPhone. Balda says to supply touch-screens for Apple iPhone"
10,20070111,Apple iPhone launch sparks Beatles digital hopes
11,20070112,"UPDATE 2-U.S. investigates options grant to Apple CEO -WSJ. U.S. investigates options grant to Apple CEO: WSJ. Napster rises, Apple slips. Apple iPhone creates buzz"
12,20070113,U.S. investigates options grant to Apple CEO: WSJ
13,20070114,
14,20070115,
15,20070116,Big Apple bitten by Oscar bug
16,20070117,"Apple profit trounces forecasts, outlook lags. Nasdaq down on Intel; Apple waxes and wanes. Apple shares jump after results. US STOCKS-Techs fall on Intel, Cisco; Apple on tap. Techs fall on Intel, Cisco; Apple on tap. US STOCKS-Techs fall on Intel, Cisco; Apple on tap. Apple beats handily on top and bottom lines; guides Q2 below consensus. Big Apple bitten by Oscar bug. Techs retreat; Apple crushes target"
17,20070118,"Apple iPhone margins to near 50 pct: analyst report. Apple shares slip as light outlook disappoints. Apple iPhone margins to near 50 pct-analyst report. US STOCKS-Indexes fall as Apple weighs down techs. US STOCKS-Nasdaq falls 1 percent as Apple extends fall. US STOCKS-Dow inches up, but Apple hits Nasdaq. US STOCKS-Dow futures up after data, Apple hits Nasdaq. US STOCKS-Dow futures up after data, Apple hits Nasdaq. Apple: OPTi announces it initiates Patent Infringement Lawsuit against Apple . Apple profit trounces forecasts, outlook lags. Apple leads rotten day for tech"
18,20070119,
19,20070120,
20,20070121,
21,20070122,New York pension fund takes lead in Apple lawsuit
22,20070123,New York pension fund takes lead in Apple lawsuit
23,20070124,
24,20070125,Norway tells Apple change iTunes or face court. Callwave announces it expands distribution of Visual Voicemail Widget to the Apple Dashboard
25,20070126,
26,20070127,
27,20070128,
28,20070129,
29,20070130,UPDATE 2-Creative Q2 net jumps on Apple payment; cuts jobs. Creative Tech Q2 profit jumps on Apple payment
30,20070131,
31,20070201,
32,20070202,Apple says U.S. govt sought options info-filing. Apple says U.S. govt sought options info-filing. Apple says U.S. govt sought options info-filing
33,20070203,
34,20070204,
35,20070205,"Apple and Beatles settle trademark squabble. Apple and Beatles settle trademark squabble. Apple and Beatles settle trademark squabble. Apple and The Beatles' Apple Corps enter into new agreement concerning the use of the name ""Apple"". Apple and Beatles settle dispute "
36,20070206,Apple and Beatles settle trademark squabble
37,20070207,
38,20070208,
39,20070209,
40,20070210,
41,20070211,
42,20070212,"UPDATE 1-RESEARCH ALERT- Citigroup upgrades Apple to buy. Apple shares gain after upgrade. IBM aims to lower cost of using Linux, Apple PCs"
43,20070213,
44,20070214,
45,20070215,REFILE-ING Clarion Partners to buy Apple Hospitality Two
46,20070216,"U.S. may charge ex-execs at Broadcom, Apple - WSJ. Ex Broadcom, Apple execs may be charged: report"
47,20070217,
48,20070218,
49,20070219,
50,20070220,
51,20070221,Cisco and Apple reach agreement on iPhone trademark
52,20070222,"US STOCKS-Indexes open slightly higher; Apple gains. US STOCKS-Market seen starting flat, Apple up. US STOCKS-Wall St. set to open flat, Apple gains"
53,20070223,
54,20070224,
55,20070225,
56,20070226,Launch of Apple TV device delayed
57,20070227,Apple co-founder recounts love of computers. Apple shares slip. Launch of Apple TV device delayed
58,20070228,
59,20070301,
60,20070302,
61,20070303,
62,20070304,
63,20070305,UPDATE 1-RESEARCH ALERT-Prudential raises Apple to overweight
64,20070306,"Google CEO discounts mergers, sees more Apple ties"
65,20070307,
66,20070308,Apple may use flash memory for notebooks: analyst
67,20070309,Apple may use flash memory for notebooks: analyst
68,20070310,
69,20070311,EU takes aim at Apple over iTunes. UPDATE 1-EU's consumer chief takes aim at Apple over iTunes
70,20070312,EU's consumer chief takes aim at Apple over iTunes. EU takes aim at Apple over iTunes
71,20070313,EU consumer chief eschews another bite at Apple
72,20070314,
73,20070315,
74,20070316,
75,20070317,
76,20070318,
77,20070319,Airbus big hope visits Big Apple
78,20070320,
79,20070321,Apple makes biggest move yet into living rooms. Apple makes biggest move yet into living rooms
80,20070322,Apple makes biggest move yet into living rooms. Apple makes biggest move yet into living rooms
81,20070323,
82,20070324,
83,20070325,
84,20070326,
85,20070327,
86,20070328,
87,20070329,Apple gets behind the album format with new offer. Apple expands iTunes service
88,20070330,Apple to offer Major League Baseball video highlights on the iTunes store
89,20070331,Apple invades the living room
90,20070401,Apple invades the living room
91,20070402,"EMI and Apple agree to music catalog deal. EU charges record companies, Apple on record sales. EU charges record companies, Apple on record sales. EMI and Apple agree to music catalog deal. Apple invades the living room. Apple confirms higher quality DRM-free music on the iTunes Store. Apple shares up on EMI rights deal"
92,20070403,
93,20070404,Best Buy to offer Apple computers in 200 stores
94,20070405,
95,20070406,
96,20070407,
97,20070408,
98,20070409,Apple sells 100 million iPods. Apple sells 100 million iPods
99,20070410,Apple says sold 100 million iPods. Apple sells 100 million iPods
100,20070411,Apple says sold 100 million iPods
101,20070412,"Apple delays new operating system. Wall St up on M&A;, retail sales; Apple falls late. Apple delays new operating system, stock off 3 pct. US STOCKS-Wall St up on M&A;, retail sales; Apple falls late. Apple falls after operating system delayed"
102,20070413,"Apple delays new operating system. Apple delays new operating system, stock off 3 pct"
103,20070414,
104,20070415,Vietnam's first Apple computer store opens. Apple shares expensive at current levels-Barron's
105,20070416,Apple shareholders propose options dating change
106,20070417,
107,20070418,
108,20070419,
109,20070420,Apple seen having upper hand in music negotiations
110,20070421,Apple seen having upper hand in music negotiations
111,20070422,
112,20070423,Apple ex-CFO settles with SEC: report. Apple seen having upper hand in music negotiations
113,20070424,"Apple ex-CFO links Jobs to backdated options. Apple ex-CFO links Jobs to backdated options. SEC won't file stock options case against Apple. Apple: Former Apple CFO Anderson said CEO Jobs, board approved grants, says Jobs gave him 'reassurance' on grants"
114,20070425,"Apple profit surges on MacBook and iPod sales. Apple board defends Jobs over options grants. US STOCKS-Dow closes over 13,000; Apple jumps after-hours. Apple posts higher profit on strong MacBook sales. Apple iPhone on track to ship in late June: CFO. Apple posts higher profit on strong MacBook sales. Apple profit beats expectations, shares jump. After the Bell - Apple shares rise 4.9 pct to $100. Apple. Apple Board Members released the following statement "
115,20070426,Apple profit surges on MacBook and iPod sales. US STOCKS-Indexes tread water before GDP; Apple up. Apple shares surge after upbeat earnings. Jobs says Apple customers not into renting music. Apple iPhone to ship in late June: CFO. US STOCKS-Wall Street pauses after rally; Apple jumps. Apple iPhone to ship late June: CFO. US STOCKS-Tech shares set to rise on Apple. UPDATE 1-JP Morgan cuts Apple FY 2008 shr view to $3.33. Apple board defends Jobs over options grants
116,20070427,Apple says some notebooks may have battery issues
117,20070428,
118,20070429,
119,20070430,
120,20070501,
121,20070502,
122,20070503,Apple unveils plans to go greener. Apple unveils plans to go greener
123,20070504,
124,20070505,
125,20070506,
126,20070507,
127,20070508,
128,20070509,
129,20070510,Steve Jobs defends options record at Apple meeting. Steve Jobs defends options record at Apple meeting
130,20070511,"Apple working up toward session high at 108.39, yesterday's early/52-wk peak is at 108.84"
131,20070512,
132,20070513,
133,20070514,
134,20070515,Apple updates MacBook
135,20070516,
136,20070517,Apple says FCC approves iPhone for sale
137,20070518,Apple says U.S. FCC approves iPhone for sale
138,20070519,
139,20070520,
140,20070521,
141,20070522,
142,20070523,
143,20070524,
144,20070525,
145,20070526,
146,20070527,
147,20070528,
148,20070529,
149,20070530,"Apple to put YouTube on Apple TV. Apple says YouTube to be available on Apple TV. UPDATE 1-Apple says YouTube to be available on Apple TV. Viacom welcomes licensing opportunity from Apple TV. Apple joins S&P; 100,Precision Castparts in S&P; 500. Apple rolls out copy protection-free iTunes. Apple rolls out copy protection-free iTunes. Apple: YouTube coming to Apple TV. Apple announces new iTunes product"
150,20070531,Viacom welcomes licensing opportunity from Apple TV. Apple to put YouTube on Apple TV
151,20070601,Apple juice may help protect kids from asthma
152,20070602,
153,20070603,
154,20070604,Apple says iPhone to go on sale June 29. Apple says iPhone to go on sale June 29. Does Apple have the mobile touch?. Does Apple have the mobile touch?
155,20070605,Apple says iPhone to go on sale June 29. UPDATE 1-RESEARCH ALERT-Credit Suisse raises Apple price target
156,20070606,Apple TV has lower profit margin: iSuppli
157,20070607,"Apple iPhone, not yet for sale, drives stock. Apple iPhone, not yet for sale, drives stock. Apple TV has lower profit margin: iSuppli. UPDATE 1-RESEARCH ALERT-UBS raises Apple price target to $160. Apple rises on broker, Cramer views"
158,20070608,Apple TV has lower profit margin: iSuppli
159,20070609,Does Apple have the mobile touch?
160,20070610,
161,20070611,"Big Apple to host Farm Aid concert. Apple takes on Microsoft with Windows Web browser. Big Apple to host Farm Aid concert. Hollywood balks at Apple online movie rentals. Apple offers Safari for Windows. Apple confirms near final version of Mac OS X Leopard, and Safari for windows. US STOCKS-Modest open seen on deals, Apple inches up. Apple in talks to launch film rental service - FT"
162,20070612,Hollywood balks at Apple online movie rentals. Apple takes on Microsoft with Windows Web browser
163,20070613,Big Apple to host Farm Aid concert. Big Apple to host Farm Aid concert. Hollywood balks at Apple online movie rentals
164,20070614,Hollywood balks at Apple online movie rentals
165,20070615,Acacia Research licenses graphical user interface technology to Apple Inc
166,20070616,
167,20070617,
168,20070618,Apple says iPhone battery life longer than expected. Apple shares rise on iPhone battery life. Apple says iPhone delivers up to eight hours of talk time
169,20070619,
170,20070620,Apple says iPhone to access YouTube content. Apple builds hype for iPhone with less. Apple says iPhone to access YouTube content
171,20070621,
172,20070622,Apple now third-largest US music retailer-survey. Apple now third-largest U.S. music retailer: survey
173,20070623,Apple now third-largest U.S. music retailer: survey
174,20070624,
175,20070625,Apple now third-largest U.S. music retailer: survey. Apple now third-largest US music retailer
